ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,ACCT_AGE,HIGH_RISK
5037048,0,1,1,0,2,Working,Secondary / secondary special,Married,With parents,-16271,-3111,1,0,0,0,2.0,-17.0,0
5044630,1,1,0,1,2,Commercial associate,Higher education,Single / not married,House / apartment,-10130,-1651,1,0,0,0,2.0,-1.0,0
5079079,1,0,1,2,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-12821,-5657,1,0,0,0,4.0,-38.0,0
5112872,1,1,1,0,3,Commercial associate,Higher education,Single / not married,House / apartment,-20929,-2046,1,0,0,1,1.0,-11.0,0
5105858,1,0,0,0,3,Working,Secondary / secondary special,Separated,House / apartment,-16207,-515,1,0,1,0,1.0,-41.0,0
5100411,1,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-13251,-3839,1,1,0,0,2.0,-1.0,0
5022817,0,1,1,0,3,Working,Secondary / secondary special,Married,House / apartment,-17262,-1617,1,0,0,0,2.0,-16.0,0
5009811,1,0,0,1,3,Working,Secondary / secondary special,Married,House / apartment,-11813,-3266,1,1,1,0,3.0,-21.0,0
5113922,1,0,0,0,1,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-23478,365243,1,0,0,0,1.0,-50.0,0
5021541,1,1,0,1,3,Working,Higher education,Married,House / apartment,-9310,-1678,1,0,0,0,3.0,-13.0,0
5061509,1,0,1,0,3,Pensioner,Secondary / secondary special,Married,House / apartment,-21464,365243,1,0,0,0,2.0,-15.0,0
5028439,0,1,1,0,3,Working,Higher education,Married,House / apartment,-15586,-3337,1,0,0,0,2.0,-6.0,0
5096280,1,0,0,0,3,Commercial associate,Higher education,Separated,House / apartment,-18168,-3931,1,1,1,0,1.0,-13.0,0
5024159,1,0,1,1,3,Working,Secondary / secondary special,Married,House / apartment,-9685,-1098,1,0,0,0,3.0,-6.0,0
5091895,0,0,0,0,2,Commercial associate,Higher education,Single / not married,House / apartment,-10192,-1600,1,0,0,0,1.0,-16.0,0
5009969,1,1,1,0,2,State servant,Secondary / secondary special,Married,House / apartment,-20644,-3873,1,0,0,0,2.0,-41.0,0
5046544,1,0,1,1,2,Working,Secondary / secondary special,Married,House / apartment,-15083,-847,1,0,0,0,3.0,-55.0,0
5105991,0,0,0,0,1,Working,Secondary / secondary special,Married,Municipal apartment,-13334,-2829,1,1,1,0,2.0,-15.0,0
5091715,1,1,1,1,2,Working,Higher education,Married,House / apartment,-9766,-2696,1,1,0,0,3.0,-23.0,0
5053194,1,0,1,0,3,Working,Higher education,Married,House / apartment,-15527,-3792,1,1,1,0,2.0,-44.0,0
5090578,1,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-15840,-1834,1,0,0,0,2.0,-17.0,0
5025950,1,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-13520,-5488,1,0,0,0,2.0,-45.0,0
5033969,1,0,1,3,2,Commercial associate,Secondary / secondary special,Married,House / apartment,-14445,-2240,1,0,0,0,5.0,-14.0,0
5125661,1,0,0,0,1,State servant,Secondary / secondary special,Married,House / apartment,-18532,-3666,1,1,1,0,2.0,-44.0,0
5029415,1,0,1,1,3,State servant,Secondary / secondary special,Civil marriage,House / apartment,-11206,-2514,1,0,0,1,3.0,-23.0,0
5067899,1,0,1,0,3,Pensioner,Secondary / secondary special,Married,House / apartment,-21511,365243,1,0,1,0,2.0,-45.0,0
5148911,0,1,0,2,3,Commercial associate,Secondary / secondary special,Married,House / apartment,-14636,-3850,1,0,0,0,4.0,-33.0,0
5089847,1,0,1,1,3,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16505,-1862,1,0,1,1,3.0,-18.0,0
5149881,1,1,1,1,3,Commercial associate,Higher education,Married,House / apartment,-17423,-472,1,0,1,0,3.0,-16.0,0
5091761,1,0,0,0,2,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15198,-1357,1,0,0,0,2.0,-24.0,0
5116567,1,0,1,1,2,Working,Secondary / secondary special,Married,House / apartment,-10645,-3868,1,1,1,0,3.0,-44.0,0
5025876,1,0,1,1,2,Working,Secondary / secondary special,Married,House / apartment,-12017,-192,1,0,0,0,3.0,-49.0,0
5041825,1,1,0,0,2,Working,Secondary / secondary special,Married,Municipal apartment,-17372,-978,1,0,1,0,2.0,-34.0,0
5010208,1,0,1,0,2,Commercial associate,Higher education,Married,House / apartment,-13764,-3996,1,0,0,1,2.0,-12.0,0
5148624,1,0,1,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22829,365243,1,0,0,0,1.0,-22.0,0
5096373,1,1,0,0,3,Working,Higher education,Married,House / apartment,-14761,-3718,1,1,1,0,2.0,-22.0,0
5054536,1,0,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-15787,-2188,1,1,0,0,2.0,-59.0,0
5010039,1,0,1,0,3,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21582,365243,1,0,0,0,2.0,-16.0,0
5029401,1,0,0,0,2,Pensioner,Secondary / secondary special,Married,House / apartment,-19125,365243,1,0,0,0,2.0,-52.0,0
5111157,1,1,1,1,1,Working,Higher education,Married,House / apartment,-10648,-1393,1,1,1,0,3.0,-42.0,0
5048458,1,1,1,1,2,Working,Higher education,Married,House / apartment,-9441,-157,1,0,0,0,3.0,-31.0,0
5092275,1,0,1,0,3,Working,Secondary / secondary special,Married,House / apartment,-15552,-5587,1,1,1,0,2.0,-58.0,0
5090131,1,1,1,0,3,Commercial associate,Higher education,Civil marriage,House / apartment,-10851,-164,1,1,1,0,2.0,-22.0,0
5065444,1,1,0,2,3,Working,Secondary / secondary special,Married,With parents,-13258,-2300,1,0,0,0,4.0,-30.0,0
5087881,1,0,0,0,3,State servant,Higher education,Civil marriage,House / apartment,-21967,-5215,1,0,0,1,2.0,-50.0,0
5045654,1,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-14854,-2452,1,0,1,0,2.0,-6.0,0
5112850,1,1,1,0,2,Working,Secondary / secondary special,Married,House / apartment,-12172,-1681,1,0,0,1,2.0,-22.0,0
5058365,1,0,1,0,2,Pensioner,Secondary / secondary special,Separated,House / apartment,-21476,365243,1,0,0,0,1.0,-9.0,0
